Reading timing models for corner max_tt_025C_1v80…
Reading timing library for the 'max_tt_025C_1v80' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner min_ss_100C_1v60…
Reading timing library for the 'min_ss_100C_1v60' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
[WARNING STA-1140] /foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib line 1, library sky130_fd_sc_hd__tt_025C_1v80 already exists.
Reading timing models for corner max_ff_n40C_1v95…
Reading timing library for the 'max_ff_n40C_1v95' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
[WARNING STA-1140] /foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib line 1, library sky130_fd_sc_hd__ff_n40C_1v95 already exists.
Reading timing models for corner max_ss_100C_1v60…
Reading timing library for the 'max_ss_100C_1v60' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
[WARNING STA-1140] /foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib line 1, library sky130_fd_sc_hd__ss_100C_1v60 already exists.
Reading timing models for corner min_tt_025C_1v80…
Reading timing library for the 'min_tt_025C_1v80' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
[WARNING STA-1140] /foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib line 1, library sky130_fd_sc_hd__tt_025C_1v80 already exists.
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
[WARNING STA-1140] /foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib line 1, library sky130_fd_sc_hd__ss_100C_1v60 already exists.
Reading timing models for corner min_ff_n40C_1v95…
Reading timing library for the 'min_ff_n40C_1v95' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
[WARNING STA-1140] /foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib line 1, library sky130_fd_sc_hd__ff_n40C_1v95 already exists.
Reading OpenROAD database at '/foss/designs/alu32_openlane/runs/RUN_2026-05-28_05-26-24/34-openroad-detailedplacement/alu32.odb'…
Reading design constraints file at '/usr/local/lib/python3.12/dist-packages/librelane/scripts/base.sdc'…
[WARNING STA-0366] port '__VIRTUAL_CLK__' not found.
[INFO] Using clock __VIRTUAL_CLK__…
[INFO] Setting output delay to: 2.0
[INFO] Setting input delay to: 2.0
[WARNING STA-0366] port '__VIRTUAL_CLK__' not found.
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[WARNING STA-0419] transition time can not be specified for virtual clocks.
[INFO] Setting timing derate to: 5%
[WARNING STA-0450] virtual clock __VIRTUAL_CLK__ can not be propagated.
[WARNING STA-0450] virtual clock __VIRTUAL_CLK__ can not be propagated.
+ repair_timing -verbose -setup -setup_margin 0.05000000000000000277555756156289135105907917022705078125 -max_buffer_percent 50
[INFO RSZ-0100] Repair move sequence: UnbufferMove SizeUpMove SwapPinsMove BufferMove CloneMove SplitLoadMove 
[INFO RSZ-0094] Found 35 endpoints with setup violations.
[INFO RSZ-0099] Repairing 35 out of 35 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |   Area   |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |          |            | Endpts | Endpt
--------------------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |    +0.0% |  -18.041 |     -403.2 |     35 | zero
       10 |       0 |       9 |        0 |      0 |     0 |    +0.0% |  -17.335 |     -400.1 |     35 | zero
       20 |       0 |      19 |        0 |      0 |     0 |    +0.0% |  -17.100 |     -392.7 |     35 | zero
       30 |       0 |      29 |        0 |      0 |     0 |    +0.0% |  -16.891 |     -388.8 |     35 | zero
       40 |       1 |      38 |        0 |      0 |     0 |    -0.0% |  -16.748 |     -385.3 |     35 | zero
       50 |       1 |      48 |        0 |      0 |     0 |    -0.0% |  -16.584 |     -379.2 |     35 | zero
       60 |       1 |      58 |        0 |      0 |     0 |    -0.1% |  -16.422 |     -376.3 |     35 | zero
       70 |       1 |      68 |        0 |      0 |     0 |    -0.1% |  -16.296 |     -373.1 |     35 | zero
       80 |       2 |      77 |        0 |      0 |     0 |    -0.1% |  -16.180 |     -366.9 |     35 | zero
       90 |       2 |      87 |        0 |      0 |     0 |    -0.1% |  -16.052 |     -362.2 |     35 | zero
      100 |       2 |      97 |        0 |      0 |     0 |    -0.1% |  -15.947 |     -359.9 |     35 | zero
      110 |       3 |     106 |        0 |      0 |     0 |    -0.1% |  -15.776 |     -355.1 |     35 | zero
      120 |       3 |     116 |        0 |      0 |     0 |    -0.1% |  -15.547 |     -349.5 |     35 | zero
      130 |       3 |     126 |        0 |      0 |     0 |    -0.1% |  -15.416 |     -346.5 |     35 | zero
      140 |       4 |     134 |        0 |      0 |     1 |    -0.1% |  -15.334 |     -343.1 |     35 | zero
      150 |       4 |     144 |        0 |      0 |     1 |    -0.1% |  -15.325 |     -340.9 |     35 | zero
      160 |       4 |     154 |        0 |      0 |     1 |    -0.1% |  -15.260 |     -338.5 |     35 | zero
      170 |       4 |     164 |        0 |      0 |     1 |    -0.1% |  -15.164 |     -334.5 |     35 | zero
      180 |       4 |     174 |        0 |      0 |     1 |    -0.1% |  -14.959 |     -332.4 |     35 | zero
      190 |       4 |     182 |        2 |      0 |     2 |    -0.0% |  -14.774 |     -329.1 |     35 | zero
      200 |       4 |     191 |        2 |      0 |     3 |    -0.1% |  -14.663 |     -326.7 |     35 | zero
      210 |       4 |     200 |        2 |      0 |     4 |    -0.0% |  -14.542 |     -323.3 |     35 | zero
      220 |       5 |     209 |        2 |      0 |     4 |    -0.1% |  -14.469 |     -321.9 |     35 | zero
      230 |       5 |     218 |        3 |      0 |     4 |    -0.1% |  -14.438 |     -321.4 |     35 | zero
      240 |       5 |     228 |        3 |      0 |     4 |    -0.0% |  -14.380 |     -319.6 |     35 | zero
      250 |       5 |     238 |        3 |      0 |     4 |    -0.0% |  -14.320 |     -317.5 |     35 | zero
      260 |       5 |     248 |        3 |      0 |     4 |    -0.0% |  -14.250 |     -316.1 |     35 | zero
      270 |       5 |     258 |        3 |      0 |     4 |    -0.0% |  -14.190 |     -314.5 |     35 | zero
      280 |       5 |     266 |        3 |      0 |     6 |    -0.0% |  -14.306 |     -314.9 |     35 | zero
      290 |       5 |     275 |        4 |      0 |     6 |    +0.0% |  -14.160 |     -313.6 |     35 | zero
      300 |       5 |     285 |        4 |      0 |     6 |    +0.0% |  -14.143 |     -313.1 |     35 | zero
      310 |       5 |     295 |        4 |      0 |     6 |    +0.1% |  -14.105 |     -312.3 |     35 | zero
      320 |       5 |     305 |        4 |      0 |     6 |    +0.1% |  -14.080 |     -311.4 |     35 | zero
      330 |       5 |     315 |        4 |      0 |     6 |    +0.0% |  -14.047 |     -309.9 |     35 | zero
      340 |       5 |     325 |        4 |      0 |     6 |    +0.0% |  -14.037 |     -309.3 |     35 | zero
      350 |       5 |     335 |        4 |      0 |     6 |    +0.1% |  -13.539 |     -307.7 |     35 | overflow
      360 |       5 |     345 |        4 |      0 |     6 |    +0.2% |  -13.375 |     -306.6 |     35 | zero
      370 |       6 |     354 |        4 |      0 |     6 |    +0.1% |  -13.317 |     -304.9 |     35 | zero
      380 |       6 |     364 |        4 |      0 |     6 |    +0.1% |  -13.278 |     -304.3 |     35 | zero
      390 |       6 |     374 |        4 |      0 |     6 |    +0.2% |  -13.234 |     -303.6 |     35 | zero
      400 |       6 |     384 |        4 |      0 |     6 |    +0.2% |  -13.166 |     -302.7 |     35 | zero
      410 |       6 |     393 |        4 |      0 |     7 |    +0.2% |  -13.061 |     -301.1 |     35 | zero
      420 |       6 |     402 |        4 |      0 |     8 |    +0.1% |  -13.037 |     -300.6 |     35 | zero
      430 |       6 |     411 |        5 |      0 |     8 |    +0.2% |  -13.005 |     -300.0 |     35 | zero
      440 |       6 |     421 |        5 |      0 |     8 |    +0.2% |  -12.980 |     -299.3 |     35 | zero
      450 |       6 |     431 |        5 |      0 |     8 |    +0.2% |  -12.941 |     -298.5 |     35 | zero
      460 |       6 |     440 |        5 |      0 |     9 |    +0.1% |  -12.901 |     -297.9 |     35 | zero
      470 |       6 |     449 |        5 |      0 |    10 |    +0.2% |  -12.861 |     -296.9 |     35 | zero
      480 |       6 |     459 |        5 |      0 |    10 |    +0.1% |  -12.839 |     -296.2 |     35 | zero
      490 |       6 |     468 |        5 |      0 |    11 |    +0.1% |  -13.018 |     -297.2 |     35 | zero
      500 |       6 |     478 |        5 |      0 |    11 |    +0.1% |  -12.798 |     -295.2 |     35 | zero
      510 |       6 |     488 |        5 |      0 |    11 |    +0.1% |  -12.770 |     -294.2 |     35 | zero
      520 |       6 |     498 |        5 |      0 |    11 |    +0.1% |  -12.736 |     -293.5 |     35 | zero
      530 |       6 |     508 |        5 |      0 |    11 |    +0.1% |  -12.719 |     -292.9 |     35 | zero
